Classification,closedPnL_num_sum,closedPnL_num_mean,size_num_sum,notional_sum,trade_count,win_rate,median_leverage,pnl_pct_mean
Extreme Fear,4399.936551,8.951447740429417,5722061.9582882,9580240.187704345,2326,0.3074997416335347,,0.0357265318367256
Extreme Greed,1156893.675576,46.83493790844598,92225491.29787609,18223760.09127178,5621,0.3196421290906784,,0.015219143062980982
Fear,1779225.582654,56.31205865638099,44656310.54517257,79674391.33071163,13869,0.3480706649314948,,0.021869530254325732
Greed,609632.5326360001,29.148124530072234,168886123.47211593,57045815.710714854,11292,0.36241481527428093,,0.01818962158805067
Neutral,74656.74198,28.283112443250065,48838676.1255933,11939550.848961037,2756,0.286718840040785,,0.005699447524164437
